date,value
2023-12-29,194.830000
2023-12-30,126.900000
2023-12-31,120.890000
2024-01-01,137.880000
2024-01-02,154.870000
2024-01-03,93.920000
2024-01-04,211.820000
2024-01-05,125.890000
2024-01-06,213.820000
2024-01-07,237.800000
2024-01-08,287.260000
2024-01-09,283.250000
2024-01-10,246.790000
2024-01-11,188.840000
2024-01-12,241.800000
2023-07-03,123.370000
2023-07-05,195.290000
2023-11-02,159.840000
2024-01-13,290.750000
2024-01-14,273.760000
2024-01-15,312.720000
2024-01-16,270.780000
2024-01-17,260.790000
2024-01-18,158.870000
2024-01-19,273.780000
2024-01-20,240.790000
2024-01-24,362.710000
2024-01-25,254.770000
2024-01-26,396.670000
2024-01-27,382.680000
2024-01-28,332.700000
2024-01-29,279.770000
2024-01-30,279.770000
2024-01-31,249.800000
2024-02-01,351.700000
2024-02-02,394.670000
2024-02-03,246.790000
2024-02-04,340.700000
2024-02-05,373.680000
2024-02-06,334.720000
2024-02-07,244.790000
2024-02-08,258.790000
2024-02-09,429.640000
2024-02-10,412.650000
2024-02-11,511.580000
2024-02-12,358.690000
2024-02-13,596.490000
2024-02-14,421.660000
2024-02-15,368.690000
2024-02-16,378.680000
2024-02-17,195.840000
2024-02-18,410.660000
2024-02-19,353.730000
2024-02-20,517.590000
2024-02-21,300.770000
2024-02-22,473.620000
2024-02-23,266.780000
2024-02-24,377.710000
2024-02-25,398.680000
2024-02-26,346.740000
2024-01-21,368.690000
2024-01-22,429.660000
2024-01-23,269.770000
2024-02-27,461.640000
2024-02-28,471.630000
2024-02-29,401.680000
2024-03-01,488.630000
2024-03-02,394.690000
2024-03-03,685.440000
2024-03-04,625.520000
2024-03-05,538.570000
2024-03-06,643.480000
2024-03-07,632.500000
2024-03-08,362.710000
2024-03-09,362.710000
2024-03-10,666.470000
2024-03-11,658.460000
2024-03-12,344.730000
2024-03-13,391.690000
2024-03-14,627.490000
2024-03-16,490.610000
2024-03-19,543.580000
2024-03-20,564.540000
2024-03-21,711.440000
2024-03-22,668.460000
2024-03-23,442.650000
2024-03-24,713.420000
2024-03-25,963.220000
2024-03-26,694.450000
2024-03-27,1023.170000
2024-03-28,441.640000
2024-03-29,557.560000
2024-03-30,426.260000
2024-03-31,304.750000
2024-04-01,711.410000
2024-04-02,421.670000
2024-04-03,449.650000
2024-04-04,353.730000
2024-04-05,274.570000
2024-04-06,353.400000
2024-04-07,238.790000
2024-04-08,468.820000
